College,In-state tuition,Opened,avg cost,Enrollment,County
Orange Coast,1188,1947,4225,19865,Orange
Mt. San Antonio,1350,1946,2570,26702,Los Angeles
Golden West,1180,1965,4475,10881,Orange
Ventura,1394,1925,1247,12036,Ventura
Santa Ana,1160,1915,4474,26122,Orange
Saddleback ,1330,1968,5909,17432,Orange
El Camino,1143,1947,8628,21292,Los Angeles
Cypress,1142,1966,4745,14068,Orange
Fullerton,1142,1913,5289,20260,Orange
Cerritos,1346,1955,1598,20368,Los Angeles
Pasedena,1168,1924,4559,24838,Los Angeles
Oxnard,1394,1975,1231,6770,Ventura
Santa Monica,1144,1929,4325,26723,Los Angeles
Compton,1142,1927,7447,5605,Los Angeles
Los Angeles City,1220,1929,5248,11656,Los Angeles
Glendale,1175,1927,3894,12570,Los Angeles
